cryptocurrency,cluster
IOTA,5
LTC,5
MX,3
ALL_CRYPTOS,4
XMR,3
CFX,4
SKR,5
AAVE,5
TFUEL,5
CHZ,5
SYRUP,3
GALA,1
XLM,4
PAXG,1
BSV,4
NEXO,5
ROSE,5
MANA,5
IMX,5
LINK,5
BTC,5
USDC,1
EGLD,5
SAND,5
ADA,5
FTT,3
BNB,5
RUNE,5
HNT,3
POL,5
XVG,3
UNI,5
KCS,4
ICP,5
ATOM,5
VET,5
OKB,4
CRO,4
SNX,5
HBAR,4
XAUT,1
LDO,4
TUSD,1
BAT,5
GLM,4
CAKE,5
COMP,5
QTUM,5
STX,5
TWT,4
SHIB,4
AVAX,5
ZEC,5
SOL,5
RAY,3
TEL,4
QNT,5
GT,2
XCN,1
LEO,1
XTZ,5
TRX,3
DOGE,4
RSR,4
DYDX,5
DOT,5
DASH,5
XDC,2
APE,5
DAI,1
1INCH,5
XRP,4
AR,5
NEO,5
ETC,5
ENS,4
CVX,4
SUPER,4
ETH,5
AMP,3
XEC,4
GNO,5
TRAC,1
FET,5
WEMIX,2
ALGO,5
DCR,3
AXS,5
SUN,3
FLOW,5
FIL,5
GRT,5
USDD,1
THETA,5
ZEN,4
BCH,4
CRV,5
BTT,3
USDT,1
NFT,3
LPT,4
INJ,5
JST,4
NEAR,5
