cryptocurrency,PC1,PC2
IOTA,0.11347165340730007,-0.013532824322317848
LTC,0.1095312601512296,0.10132265388799672
MX,0.07692065698727363,0.10618872603123035
ALL_CRYPTOS,0.10631412751263551,0.001500935303343609
XMR,0.07376667665456402,0.18534250373446126
CFX,0.08876550017801661,0.00016686927976844457
SKR,0.11080543279391428,0.13659227491944181
AAVE,0.11158565741368831,0.1295570356755522
TFUEL,0.10457326393349173,-0.03728066930598791
CHZ,0.11243970100951658,-0.061465729409148455
SYRUP,0.06518800151803378,-0.06215752578093969
GALA,0.020383336575900534,-0.008640900557530007
XLM,0.09480278021732509,0.10622492891219448
PAXG,0.009381914148908673,0.10846253748531093
BSV,0.08984367729701034,-0.07550072842376708
NEXO,0.10742354369077038,0.1220357912475098
ROSE,0.11974733647453167,-0.0759867531125945
MANA,0.12469863041695385,-0.03355716945998671
IMX,0.1124043832508624,-0.03746138195143653
LINK,0.11577666513117206,0.10558056130699463
BTC,0.11747001647706015,0.12802232107911782
USDC,-0.0002794162338428563,-0.032687262877119753
EGLD,0.11716430650615714,-0.07755992800055962
SAND,0.12085960718761467,-0.04113221457996393
ADA,0.11420316973237807,0.06680658737311998
FTT,0.06701781036613955,0.002723754098909011
BNB,0.10860917399521931,0.07197005352458549
RUNE,0.10795692647420434,-0.10209956505531705
HNT,0.07557171829272524,-0.09065663402410591
POL,0.12296854456846916,-0.007359150426454428
XVG,0.07204008670300424,-0.033135853839361004
UNI,0.11107865154276032,-0.027067131806232016
KCS,0.09463553230404159,0.07553175982511566
ICP,0.10721459958249342,-0.037753359156271975
ATOM,0.12145884269220224,-0.03727715798075833
VET,0.12521790967254534,-0.005123946229870202
OKB,0.0880824380753392,0.04906953443463449
CRO,0.09607328854431217,-0.03363930225614883
SNX,0.11359851760713302,-0.06568759491623617
HBAR,0.09822469218962702,0.11513917263349555
XAUT,0.005886450115670331,0.05646079702495376
LDO,0.09985709358841631,0.08626607347237139
TUSD,0.018662592996915917,-0.17753890854310628
BAT,0.12958502802474556,-0.003455104370394875
GLM,0.08519635484358938,-0.030602092637044907
CAKE,0.10360225391210481,-0.08600174710150517
COMP,0.1113590734847841,-0.02632422652870503
QTUM,0.12037144196294655,-0.04352896242834615
STX,0.10119022679058429,-0.06687619292549014
TWT,0.09185050230849896,-0.05482807547563072
SHIB,0.10105210077140192,-0.05950390525653881
AVAX,0.12113074192349317,-0.0025647056863595196
ZEC,0.11127005867173491,-0.01140753874185688
SOL,0.11080543279391429,0.13659227491944181
RAY,0.07359736634445019,0.19914258352041356
TEL,0.09036427769466468,0.08259210950345633
QNT,0.10515874124698663,-0.034668397127330865
GT,0.04247814929313726,0.43554890259710516
XCN,-0.012825169334678577,0.4735542864072051
LEO,0.017289462003211707,-0.008678626950111115
XTZ,0.11762934725325287,-0.026926505162173053
TRX,0.07432133128288514,0.011839578848513938
DOGE,0.10631412751263553,0.0015009353033435594
RSR,0.09588833315880432,0.005386553053813262
DYDX,0.10881117270381209,-0.08340913806888209
DOT,0.12597554528823868,-0.05421852812794124
DASH,0.12470714247124426,-0.03930706650932164
XDC,0.051949134038636546,0.19891800800717263
APE,0.11339592851602683,-0.06409546063662239
DAI,0.004286285070504924,-0.020687645767703818
1INCH,0.11790655827691128,-0.0730436952989261
XRP,0.0817694946850532,0.23991429961956315
AR,0.10539729325758967,-0.051868273648850154
NEO,0.11607582353033341,-0.015241730691853056
ETC,0.1198040361615661,0.014320620464552824
ENS,0.10319102573739258,0.030236623534371277
CVX,0.09580485014163935,-0.05616015524685403
SUPER,0.0927617508644857,-0.09650195477068702
ETH,0.12588835002765747,0.03687130209358468
AMP,0.07350986760514308,-0.04047870444767545
XEC,0.10209539897822055,-0.052905515807265165
GNO,0.1117288606153693,0.011142156985852586
TRAC,0.028769252132058668,-0.017932718655230235
FET,0.10065273097274163,-0.05289050266359111
WEMIX,0.044524953069029684,-0.04054200425046947
ALGO,0.1184270184186586,0.052920863243152455
DCR,0.0788154621098607,-0.06471952246551471
AXS,0.12371038070362177,-0.034332045220332084
SUN,0.06067603472155595,-0.025950125133985324
FLOW,0.12281631016379739,-0.05055288621330548
FIL,0.11307026271381772,-0.029508094387840564
GRT,0.11632948189283443,-0.046809648786713905
USDD,0.00498016750364256,-0.017119005072645
THETA,0.12211531389222656,-0.032527588170400454
ZEN,0.10070366384400468,0.17114716070364244
BCH,0.10341586383457313,-0.022236991888579666
CRV,0.11384259021875817,-0.018486572808522235
BTT,0.07918274815666967,-0.058842271708848176
USDT,-0.008850419269253215,-0.07139859916934682
NFT,0.08062002696995048,-0.04354708411752696
LPT,0.094452133103649,-0.04116026500345163
INJ,0.10555635519808179,-0.03313486900486255
JST,0.0894605481937868,-0.013192170985699053
NEAR,0.11797928331500071,-0.027947030571001178
